"id";"symbol";"timestamp";"tradingDay";"open";"high";"low";"close";"volume";"createdAt";"updatedAt"
74;"NFLX";"2018-08-14T00:00:00-04:00";"2018-08-14";342.09;342.41;336.25;337.49;5805100;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
75;"NFLX";"2018-08-15T00:00:00-04:00";"2018-08-15";334.03;335.5;321.0;326.4;11784400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
76;"NFLX";"2018-08-16T00:00:00-04:00";"2018-08-16";329.9;331.17;321.21;322.44;6689700;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
77;"NFLX";"2018-08-17T00:00:00-04:00";"2018-08-17";319.01;324.365;312.96;316.78;10407900;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
78;"NFLX";"2018-08-20T00:00:00-04:00";"2018-08-20";314.64;331.6;310.93;327.73;13591100;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
79;"NFLX";"2018-08-21T00:00:00-04:00";"2018-08-21";331.0;341.5;329.7;338.02;14783200;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
80;"NFLX";"2018-08-22T00:00:00-04:00";"2018-08-22";338.49;346.21;337.41;344.44;8930600;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
81;"NFLX";"2018-08-23T00:00:00-04:00";"2018-08-23";348.11;350.08;337.65;339.17;11336400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
82;"NFLX";"2018-08-24T00:00:00-04:00";"2018-08-24";346.0;359.15;344.54;358.82;14729100;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
83;"NFLX";"2018-08-27T00:00:00-04:00";"2018-08-27";367.15;374.49;360.0;364.58;17427300;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
84;"NFLX";"2018-08-28T00:00:00-04:00";"2018-08-28";367.23;369.99;360.38;368.49;9222600;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
85;"NFLX";"2018-08-29T00:00:00-04:00";"2018-08-29";367.2;369.86;362.91;368.04;8118700;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
86;"NFLX";"2018-08-30T00:00:00-04:00";"2018-08-30";365.0;376.81;363.54;370.98;10981000;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
87;"NFLX";"2018-08-31T00:00:00-04:00";"2018-08-31";370.66;376.0;367.08;367.68;7943400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
88;"NFLX";"2018-09-04T00:00:00-04:00";"2018-09-04";366.47;368.88;361.26;363.6;7605100;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
89;"NFLX";"2018-09-05T00:00:00-04:00";"2018-09-05";360.0;363.39;335.83;341.18;13092800;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
90;"NFLX";"2018-09-06T00:00:00-04:00";"2018-09-06";347.44;356.0;341.99;346.46;13050100;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
91;"NFLX";"2018-09-07T00:00:00-04:00";"2018-09-07";342.2;355.75;341.25;348.68;9105800;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
92;"NFLX";"2018-09-10T00:00:00-04:00";"2018-09-10";352.27;352.5;343.08;348.41;5752100;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
